Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Albania,ALB,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45.9388082961143,..,..,..,36.2550631549433,..,..,..,..
Albania,ALB,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.4373388832779,..,..,..,38.2297054454712,..,..,..,..
Albania,ALB,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.1,..,..,..,..,..,2.4,..,..,1.1,..,..,0.4,..,..,..,1.1,..,..,..,..
Albania,ALB,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.6,..,..,24.2,..,..,14.6,..,..,..,15.3,..,..,..,..
Albania,ALB,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.5,..,..,11.2,..,..,10.1,..,..,..,13.6,..,..,..,..
Albania,ALB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.2,32.9,31.7,30.5,29.5,28.5,27.5,26.7,26,25.3,24.8,24.3,23.9,23.6,23.3,23,22.8,22.5,22.3,22.2,22.2,22.4,22.7,23.2,23.8,24.5,25.3
Albania,ALB,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.5,..,..,30,..,..,..,..,25.2000007629395,..,..,..,23.3999996185303,..,..,..,..,..,..,..
Albania,ALB,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,30.6000003814697,..,..,..,..,25.2000007629395,..,..,..,23.3999996185303,..,..,..,..,..,..,..
Albania,ALB,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,29.3999996185303,..,..,..,..,25.1000003814697,..,..,..,23.2999992370605,..,..,..,..,..,..,..
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..,845.2,941.8,982.3,1023.3,1037.3,1318.6,1464.1,1553.7,1639.8,1646.1,1753.6,1768.7,1843,1934.5,2028.9,2445.1,2550.1,2620.2,2634.8,2364,2500.6,2715.2,3046,2966.3,2900.6,2990.3,2965.6,2875,2961.7,2794.4,2071.9,2146.5,2685,2460.9,2841.5,2450.9,2833.3,2872.1,2798.1,3175.1,3030.8,3291.9,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,..,..
Albania,ALB,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71,69,65,63,49,53,50,51,46,42,43,40,37,35,31,30,29,30,30,30,30,30,30,29,29,29,..
Albania,ALB,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.15130273528048,1.09897609113186,1.04664944698324,0.994322802834617,0.941996158685996,0.889669514537388,0.837342870388767,0.785016226240145,0.732689582091524,0.680362937942903,0.628036293794281,0.57570964964566,0.523383005497038,0.471056361348431,0.469128560245219,0.469128560245219,..
Albania,ALB,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.464631107725268,0.435107152016173,0.405583196307084,0.376059240597989,0.346535284888901,0.317011329179806,0.287487373470718,0.257963417761623,0.228439462052528,0.19891550634344,0.169391550634344,0.139867594925256,0.110343639216161,0.0807697135924369,0,0,..
Albania,ALB,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.864679131222659,0.817263306818118,0.767779217276605,0.718744185238885,0.670162315188884,0.622060617937937,0.574429464537402,0.527276861837978,0.480609904582829,0.434458847779161,0.388793436419763,0.343636830768687,0.298978717796638,0.254903907221729,0.204497830696494,0.199815927665246,..
Albania,ALB,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,68.06445,69.86953,71.67461,71.99951,72.32442,72.64932,72.97423,73.29913,73.90025,74.50136,75.10248,75.70359,76.30471,76.86127,77.41782,77.97438,78.53094,79.08749,79.69184,80.29619,80.90054,81.50489,82.10924,82.76361,83.41798,84.07235,84.72672,85.3811,85.33507,85.28905,85.24303,85.197,85.15098,85.40046,85.64993,85.89941,86.14889,86.39836,86.80686,87.21536,87.62386,88.03236,88.44086,88.60552,88.77019,88.93485,89.09951,89.26418,89.4526,89.64103,89.82945,90.01788,90.2063,90.34531,90.48432,90.62333,..
Albania,ALB,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,64.94699,66.52816,68.10933,68.37164,68.63395,68.89626,69.15858,69.42089,69.51296,69.60503,69.6971,69.78917,69.88125,70.57776,71.27427,71.97078,72.66729,73.3638,73.43087,73.49795,73.56502,73.63209,73.69916,73.97778,74.25641,74.53503,74.81365,75.09227,74.85026,74.60825,74.36624,74.12423,73.88222,74.22791,74.5736,74.91929,75.26498,75.61067,76.50871,77.40674,78.30478,79.20282,80.10086,80.29339,80.48592,80.67846,80.87099,81.06352,81.77611,82.48869,83.20128,83.91387,84.62645,84.88075,85.13506,85.38936,..
Albania,ALB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.59707903,7.43197435,7.56809993,6.94329921,6.86818989,6.2559844,6.00014389,6.30011348,6.26700723,6.37953469,6.11631076,5.86129625,6.10393525,5.86941616,5.79133946,5.33503501,5.71466526,5.58917285,5.65513948,5.88310543,..,..
Albania,ALB,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.161,..,..,..,..,..,..,..,..,..,..,..,..,4.03,..,3.896,..,..,..,..,..,..,..
China,CHN,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.6,..,..,57,..,..,42,..,..,40.5,..,..,32,..,..,18.8,..,..,14.7,..,11.2,7.9,6.5,1.9,..,..,..
China,CHN,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,7.2,..,..
China,CHN,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,23.9,24.5,23.4,22,20.1,18.5,17.6,16.9,16.5,16.2,16,15.9,15.9,15.8,15.6,15.3,14.8,14.1,13.3,12.5,11.7,11,10.4,9.8,9.3,..
China,CHN,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37.6,35.5,33.4,31.4,29.4,27.6,25.9,24.3,23,21.8,20.8,19.9,19.3,18.9,18.6,18.4,18.3,18.3,18.4,18.6,19.1,19.8,20.7,21.9,23.2,24.7,26.4
China,CHN,"Prevalence of overweight, weight for height (% of children under 5)",SH.STA.OWGH.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.30000019073486,..,7.19999980926514,..,..,13.6000003814697,..,..,5.5,..,3.40000009536743,..,9.19999980926514,..,..,5.90000009536743,..,..,5.40000009536743,5.30000019073486,6.59999990463257,..,..,..,..,..,..
China,CHN,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.40000009536743,..,6.90000009536743,..,..,13.8000001907349,..,..,4.80000019073486,..,2.79999995231628,..,8.19999980926514,..,..,5.19999980926514,..,..,..,4.40000009536743,5.59999990463257,..,..,..,..,..,..
China,CHN,"Prevalence of overweight, weight for height, male (% of children under 5)",SH.STA.OWGH.MA.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.30000019073486,..,7.40000009536743,..,..,13.3000001907349,..,..,6.09999990463257,..,3.90000009536743,..,9.89999961853027,..,..,6.5,..,..,..,6.09999990463257,7.5,..,..,..,..,..,..
China,CHN,Cereal yield (kg per hectare),AG.YLD.CREL.KG,..,1192.7,1323.1,1490.7,1622.7,1746.5,1879.1,1935.7,1939.4,1900.4,2127.7,2174,2106.5,2275.7,2389.2,2480.4,2522.3,2486.9,2791.8,3032.5,2937.3,3081.6,3456,3716.1,3954.9,3820.5,3889.9,3973.1,3930.6,4014.7,4320.9,4226.8,4361.6,4562.1,4504.9,4659.3,4891.5,4814.1,4952.8,4944.9,4752.6,4800.3,4869.1,4872.9,5186.8,5224.6,5424.3,5319.9,5547.6,5447.5,5526.7,5707,5828.4,5889.4,5886.4,..,..
China,CHN,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,97,92,87,82,77,72,68,64,62,60,58,56,54,52,50,48,45,43,40,38,35,33,31,29,28,27,..
China,CHN,"People practicing open defecation, rural (% of rural population)",SH.STA.ODFC.RU.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.71121081562919,3.71121081562919,3.63461892735106,3.55802703907295,3.48143515079482,3.40484326251672,3.32825137423862,3.25165948596049,3.17506759768239,3.09847570940426,3.02188382112615,2.94529193284802,2.86870004456992,2.79210815629179,2.71551626801369,2.63892437973556,..
China,CHN,"People practicing open defecation, urban (% of urban population)",SH.STA.ODFC.UR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,0.603225806451613,..
China,CHN,People practicing open defecation (% of population),SH.STA.ODFC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3797397113059,2.33461138778785,2.46980612064544,2.38272530078549,2.29722469815825,2.21353948784872,2.13283715816182,2.05459394715927,1.9781581464615,1.90375005587053,1.83127522682246,1.76083883074557,1.69316811715271,1.62832318852877,1.56621902787776,1.50679097518942,..
China,CHN,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,36.12452,36.17481,36.22511,39.77046,43.31581,46.86116,50.40651,53.95186,56.06634,58.18082,60.2953,62.40977,64.52425,65.90167,67.27908,68.6565,70.03392,71.41133,72.14583,72.88032,73.61481,74.34931,75.0838,75.53131,75.97882,76.42632,76.87383,77.32134,77.58048,77.83961,78.09874,78.35788,78.61701,78.98322,79.34944,79.71565,80.08186,80.44807,81.01957,81.59108,82.16258,82.73408,83.30558,83.77417,84.24277,84.71136,85.17996,85.64855,85.91107,86.17359,86.43611,86.69863,86.96115,87.15873,87.35631,87.55389,..
