DZA|DZ
QAT|QA
EGY|EG
BGD|BD
LIE|LI
MIC|XP
NAM|NA
VEN|VE
BGR|BG
BOL|BO
GHA|GH
PAK|PK
WLD|1W
PAN|PA
JOR|JO
LBR|LR
MUS|MU
LBY|LY
MYS|MY
LIC|XM
PRI|PR
SXM|SX
PRK|KP
TZA|TZ
PRT|PT
KHM|KH
SAS|8S
PRY|PY
HKG|HK
SAU|SA
LBN|LB
SVN|SI
BFA|BF
SVK|SK
KEN|KE
MRT|MR
CHI|JG
CPV|CV
HRV|HR
CHL|CL
CHN|CN
KNA|KN
JAM|JM
SMR|SM
GIB|GI
DJI|DJ
GIN|GN
FIN|FI
URY|UY
THA|TH
SYC|SC
NPL|NP
MAR|MA
YEM|YE
PHL|PH
ZAF|ZA
KIR|KI
MNE|ME
VIR|VI
SYR|SY
MAC|MO
NIC|NI
KAZ|KZ
TCA|TC
PYF|PF
COD|CD
IRL|IE
DMA|DM
BEN|BJ
COG|CG
BEL|BE
DEU|DE
GUM|GU
LKA|LK
GBR|GB
GUY|GY
ITA|IT
CMR|CM
LDC|XL
CEB|B8
MNP|MP
NER|NE
HUN|HU
TKM|TM
TTO|TT
NLD|NL
BMU|BM
MNA|XQ
TCD|TD
GEO|GE
ROU|RO
MNG|MN
MHL|MH
BLZ|BZ
SWE|SE
AFG|AF
BDI|BI
VGB|VG
BLR|BY
GRD|GD
GRC|GR
LSO|LS
GRL|GL
CSS|S3
AND|AD
MOZ|MZ
OSS|S4
SST|S1
TJK|TJ
XKX|XK
HTI|HT
PSE|PS
ZWE|ZW
LCA|LC
LCN|ZJ
VCT|VC
MAF|MF
SSA|ZF
VNM|VN
NOR|NO
CZE|CZ
ATG|AG
FJI|FJ
HND|HN
AGO|AO
DOM|DO
LUX|LU
ISR|IL
ABW|AW
FSM|FM
PER|PE
IDN|ID
VUT|VU
GNQ|GQ
CRI|CR
SUR|SR
UMC|XT
ISL|IS
CUW|CW
GAB|GA
ETH|ET
COM|KM
COL|CO
NGA|NG
FCS|F1
ECA|7E
BWA|BW
NRU|NR
MDA|MD
STP|ST
MDG|MG
ECU|EC
ECS|Z7
SEN|SN
MDV|MV
ASM|AS
TLS|TL
FRA|FR
LTU|LT
RWA|RW
ZMB|ZM
TWN|TW
FRO|FO
GTM|GT
DNK|DK
UKR|UA
AUS|AU
AUT|AT
EUU|EU
PSS|S2
PLW|PW
LMY|XO
LAO|LA
MEA|ZQ
MEX|MX
TUR|TR
ALB|AL
OMN|OM
TUV|TV
MMR|MM
BRN|BN
TUN|TN
RUS|RU
LMC|XN
BRB|BB
BRA|BR
CAN|CA
SRB|RS
MKD|MK
USA|US
SSF|ZG
IRN|IR
WSM|WS
AZE|AZ
GNB|GW
SWZ|SZ
TON|TO
CIV|CI
LAC|XJ
KOR|KR
CAF|CF
CHE|CH
CYP|CY
BIH|BA
SGP|SG
SOM|SO
UZB|UZ
ERI|ER
POL|PL
HIC|XD
KWT|KW
GMB|GM
EAP|4E
EAS|Z4
TGO|TG
CYM|KY
EST|EE
MWI|MW
ESP|ES
IRQ|IQ
SLV|SV
MLI|ML
IND|IN
LVA|LV
MLT|MT
SSD|SS
HPC|XE
SLE|SL
OED|OE
IMN|IM
SDN|SD
SLB|SB
NZL|NZ
MCO|MC
BTN|BT
JPN|JP
NAC|XU
KGZ|KG
ARB|1A
UGA|UG
NCL|NC
ARE|AE
ARG|AR
BHS|BS
BHR|BH
ARM|AM
PNG|PG
CUB|CU
